Date;Price;;;
14/2/2025;67,85;;;
13/2/2025;69,9;;;
12/2/2025;71,85;;;
11/2/2025;75;;;
10/2/2025;74,85;;;
07/2/2025;71,6;;;
06/2/2025;71,25;;;
05/2/2025;69,3;;;
04/2/2025;69;;;
03/2/2025;69,65;;;
31/1/2025;68,25;;;
30/1/2025;68,4;;;
29/1/2025;67,35;;;
28/1/2025;65,8;;;
27/1/2025;65,8;;;
24/1/2025;67,35;;;
23/1/2025;67,75;;;
22/1/2025;67,85;;;
21/1/2025;68,85;;;
20/1/2025;70,3;;;
17/1/2025;70,6;;;
16/1/2025;69,9;;;
15/1/2025;69,8;;;
14/1/2025;69,11;;;
13/1/2025;70,8;;;
10/1/2025;69,9;;;
09/1/2025;70;;;
08/1/2025;70,8;;;
07/1/2025;71,85;;;
06/1/2025;72;;;
03/1/2025;73;;;
02/1/2025;70,5;;;
30/12/2024;76,35;;;
27/12/2024;82;;;
24/12/2024;74;;;
23/12/2024;74;;;
20/12/2024;71,7;;;
19/12/2024;71,25;;;
18/12/2024;67,5;;;
17/12/2024;68,5;;;
16/12/2024;67,5;;;
13/12/2024;69,6;;;
12/12/2024;70,85;;;
11/12/2024;73,65;;;
10/12/2024;74,25;;;
09/12/2024;72,35;;;
06/12/2024;74,3;;;
05/12/2024;75;;;
04/12/2024;75,5;;;
03/12/2024;76,1;;;
02/12/2024;77,05;;;
29/11/2024;76,5;;;
28/11/2024;76,2;;;
27/11/2024;77;;;
26/11/2024;78,85;;;
25/11/2024;79,85;;;
22/11/2024;79,5;;;
21/11/2024;82;;;
20/11/2024;80;;;
19/11/2024;78,68;;;
18/11/2024;80,2;;;
15/11/2024;78,5;;;
14/11/2024;77,45;;;
13/11/2024;75;;;
12/11/2024;78;;;
11/11/2024;77,25;;;
08/11/2024;77;;;
07/11/2024;74,75;;;
06/11/2024;72;;;
05/11/2024;71,5;;;
04/11/2024;71,5;;;
01/11/2024;69;;;
31/10/2024;70;;;
30/10/2024;71,35;;;
29/10/2024;73,25;;;
28/10/2024;73,05;;;
25/10/2024;75,55;;;
24/10/2024;75,2;;;
23/10/2024;74,7;;;
22/10/2024;72,5;;;
21/10/2024;71,5;;;
18/10/2024;71,9;;;
17/10/2024;73,25;;;
16/10/2024;74,4;;;
15/10/2024;75,7;;;
14/10/2024;76,9;;;
11/10/2024;75,4;;;
10/10/2024;74,3;;;
09/10/2024;71,6;;;
08/10/2024;71,85;;;
07/10/2024;72;;;
04/10/2024;71,7;;;
03/10/2024;71,6;;;
02/10/2024;78,03;;;
01/10/2024;69,65;;;
30/9/2024;71,65;;;
27/9/2024;71,3;;;
26/9/2024;71,75;;;
25/9/2024;71,45;;;
24/9/2024;68,5;;;
23/9/2024;68,2;;;
20/9/2024;67,11;;;
19/9/2024;67,45;;;
18/9/2024;69,75;;;
17/9/2024;70,35;;;
16/9/2024;68,1;;;
13/9/2024;71;;;
12/9/2024;72,9;;;
11/9/2024;74,6;;;
10/9/2024;75,5;;;
09/9/2024;76,4;;;
06/9/2024;77;;;
05/9/2024;76,8;;;
04/9/2024;76,85;;;
03/9/2024;78,75;;;
02/9/2024;83,1;;;
30/8/2024;83,6;;;
29/8/2024;83,3;;;
28/8/2024;85,15;;;
27/8/2024;84,25;;;
26/8/2024;83,15;;;
23/8/2024;82,5;;;
22/8/2024;82,35;;;
21/8/2024;83,1;;;
20/8/2024;85,5;;;
19/8/2024;85,75;;;
16/8/2024;84,55;;;
15/8/2024;84;;;
14/8/2024;84;;;
13/8/2024;82,3;;;
12/8/2024;84,5;;;
09/8/2024;82,25;;;
08/8/2024;82,25;;;
07/8/2024;81,4;;;
06/8/2024;80,6;;;
05/8/2024;82,6;;;
02/8/2024;82,6;;;
01/8/2024;82,2;;;
31/7/2024;78,55;;;
30/7/2024;76,5;;;
29/7/2024;77,75;;;
26/7/2024;77,75;;;
25/7/2024;76,1;;;
24/7/2024;76;;;
23/7/2024;75,6;;;
22/7/2024;74,75;;;
19/7/2024;75,5;;;
18/7/2024;74,25;;;
17/7/2024;73,75;;;
16/7/2024;74;;;
15/7/2024;73,35;;;
12/7/2024;74,85;;;
11/7/2024;75;;;
10/7/2024;75,05;;;
09/7/2024;74;;;
08/7/2024;73,15;;;
05/7/2024;73,35;;;
04/7/2024;74,1;;;
03/7/2024;74,85;;;
02/7/2024;75,5;;;
01/7/2024;77;;;
28/6/2024;73,75;;;
27/6/2024;73,1;;;
26/6/2024;72;;;
25/6/2024;69;;;
24/6/2024;66,6;;;
21/6/2024;67,85;;;
20/6/2024;70,3;;;
19/6/2024;70,9;;;
18/6/2024;66,25;;;
17/6/2024;67,25;;;
14/6/2024;69,75;;;
13/6/2024;73,3;;;
12/6/2024;72,75;;;
11/6/2024;73;;;
10/6/2024;73,5;;;
07/6/2024;74,4;;;
06/6/2024;73,5;;;
05/6/2024;75,6;;;
04/6/2024;78,75;;;
03/6/2024;84;;;
31/5/2024;84;;;
30/5/2024;84,75;;;
29/5/2024;83,75;;;
28/5/2024;84,35;;;
27/5/2024;86;;;
24/5/2024;86;;;
23/5/2024;88;;;
22/5/2024;86,5;;;
21/5/2024;85,6;;;
20/5/2024;84,75;;;
17/5/2024;81,75;;;
16/5/2024;82;;;
15/5/2024;82,05;;;
14/5/2024;82;;;
13/5/2024;81,5;;;
10/5/2024;83,75;;;
09/5/2024;83,75;;;
08/5/2024;82,5;;;
07/5/2024;83;;;
06/5/2024;85;;;
03/5/2024;77,2;;;
02/5/2024;83,4;;;
01/5/2024;83;;;
30/4/2024;79,5;;;
29/4/2024;77;;;
26/4/2024;79,5;;;
25/4/2024;82;;;
24/4/2024;78,7;;;
23/4/2024;79,25;;;
22/4/2024;79,5;;;
19/4/2024;82,75;;;
18/4/2024;82,25;;;
17/4/2024;82,25;;;
16/4/2024;85;;;
15/4/2024;82,6;;;
12/4/2024;84;;;
11/4/2024;80,75;;;
10/4/2024;76,5;;;
09/4/2024;77,1;;;
08/4/2024;75,5;;;
05/4/2024;74,5;;;
04/4/2024;72,25;;;
03/4/2024;71,65;;;
02/4/2024;73,5;;;
28/3/2024;77,5;;;
27/3/2024;77;;;
26/3/2024;77;;;
25/3/2024;79;;;
22/3/2024;76,5;;;
21/3/2024;75;;;
20/3/2024;78;;;
19/3/2024;79,75;;;
18/3/2024;80,2;;;
15/3/2024;76,15;;;
14/3/2024;75;;;
13/3/2024;71,45;;;
12/3/2024;71,4;;;
11/3/2024;73,2;;;
08/3/2024;77,25;;;
07/3/2024;79,5;;;
06/3/2024;82,5;;;
05/3/2024;79,5;;;
04/3/2024;74,35;;;
01/3/2024;73,75;;;
29/2/2024;74;;;
28/2/2024;74,9;;;
27/2/2024;68,9;;;
26/2/2024;66,75;;;
23/2/2024;65,75;;;
22/2/2024;66,7;;;
21/2/2024;68;;;
20/2/2024;69;;;
19/2/2024;69,25;;;
16/2/2024;71,35;;;
15/2/2024;73,5;;;
14/2/2024;71,75;;;
13/2/2024;73;;;
12/2/2024;73,25;;;
09/2/2024;74,5;;;
